Título;Precio;Enlace;Descuento
Consola Ps4 Slim De 1tb. Nueva Y Sellada. Garantía 1 Año;$ 2.099.900;https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=bOzZRXf%2BApZFLQdf4EbX0DiUkWopgSUF81XTGpHtv76U9vGuFTR06pw8FLo%2BYUMXYbDaU7N7WEamerNEAI116c%2BFRPKrSS8Ijhe4TkpMBkwWlB5CRZVZO4EanvnUjf9qZ8uC5lCp%2Fenr%2FXsZAGXIVGzE%2BfbVsRbGY3XdYTI0h3kQbE5VtSxyTDCrBd1J6WNoyFQS2FIqyr7PE6gNK%2FCLih7eJXh2S283mr58eQ0JzkvEjAlXd2DVZ5k%2BHNRpOLKKmlHFjdfOsNV365TNAFdxdw5mX%2BySC3%2B6EY2C4%2FsJX0JNZOQq9jjknN7rRF0V0zcLSe%2BI9GVUTAGuVqmEE1HQFCjMQxLZsf1X2LH%2FFwDonLGmAB8JQIMUpSsIPulxPDfwPEAIZrgop%2Fj76YbMU3CN1q3Iw0OR5A47QM5TTIJTfYY7R8Q7WA%2BoFH7QPFaxS%2BiE98Bv0jdNukm8cVbl6HAMKmYRN4Kg5MtJacXnzh8FydALtKFLmviN2C0WEx8AjM8qmNK1l9xJX5b3YwQLIgSPKAzWlPkKo2FMgxYtvu3Wi9GdRRV%2F%2BFeeqPkD9BrWBR8vHiOwXYJHFiGtEQqTVEar6p2JH%2BiHSZmEhgCy7emAQcLKoAI4TTR50lpHxKDw4hrq2lkmCYSUgA4SY1Wdwis1KZx9QM8ezqOyT%2BsEp%2Bm70uO8x%2F1v40XX8Vi1Nh3cNQ%3D%3D&rb=x#polycard_client=search-nordic&tracking_id=374e920e-9396-4015-a196-6e3446bc593e;descuento no encontrado
Consola Ps4 Slim 500gb + 2 Controles. Nueva. Sellada;$ 2.899.900;https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=z9Y2KBN%2BdaHZZ6bPTgdZlEnHy6Xm3YzVOZXXipP%2BfyL%2FmeP2gAiMcVSrUaNMbtTM%2FqDJjvVCIgmlGQ84YkaqwozXUiv5GtN8eT%2BjjhBV0tznu4%2FJXLnXcuYnw6AiAEJw9qlTcoJEcR0ptqnFR0QGnydLnJw3QpRn4nbvLAcPhw1kmQvsGB%2FIOXMeLHfyPHCWLa88lKf4w80wjbUzWWBcgA%2FcKCQbwQZfjTCpITEO%2BhIe7njDQ9fTiaEvGscB1T4YlRXAkbY6FWyJAgip81oiUaNOw3P06VQ61%2Bc7p2nMPw0BylSQ%2FJrPK3MtRkgTSyaS%2Fp8NCHnIGM0ZEvbHVyfiOWw6zwsVSdjdxv%2FLppV9th61K0A2Xp9mJlrtL9KCoLtS7wCfmvzYCRftN84cj7AZjYJS72RozQczURkIiKQe6KwUXshXVd4uUAKVFmKp5lq0TJW1%2FqqJOTZ1MU3YgTGODhc3IRHOhiHTC8rcT0RRpL86wRdFv05K0H771R3U8JxQLiVNYjmodyz7ECkiPmgh08ZMY8UST6utqphXOLBpAocgjev8tR9KficEDRX8KexFY3%2BCpg%2BOASfotJViOm%2FqKpVUz8H44oP2gNlHMEiTB%2BDJRqacrWAGS9kHUgvWWmvl6ee5fgQJD%2F06MAzS1kxzzYZ6ACChH%2BzRPZF%2FUKLgGFSmxsPYLpH7CA%3D%3D&rb=x#polycard_client=search-nordic&tracking_id=374e920e-9396-4015-a196-6e3446bc593e;descuento no encontrado
Consola de 32GB + Mario Kart 8 Deluxe Multicolor Nintendo Switch;$ 1.347.630;https://www.mercadolibre.com.co/consola-de-32gb-mario-kart-8-deluxe-multicolor-nintendo-switch/p/MCO27870141#polycard_client=search-nordic&searchVariation=MCO27870141&position=4&search_layout=stack&type=product&tracking_id=374e920e-9396-4015-a196-6e3446bc593e&wid=MCO1448867665&sid=search;15% OFF
Consola Playstation 5 Slim Disco Spiderman - Ps5 1 Control Color Blanco;$ 2.696.900;https://www.mercadolibre.com.co/consola-playstation-5-slim-disco-spiderman-ps5-1-control-color-blanco/p/MCO28295979#polycard_client=search-nordic&searchVariation=MCO28295979&position=5&search_layout=stack&type=product&tracking_id=374e920e-9396-4015-a196-6e3446bc593e&wid=MCO2054447202&sid=search;51% OFF
Psp Portátil Mp5 Video Juego Inalambrico Joystick 64gb M17 Color Gris;$ 189.900;https://www.mercadolibre.com.co/psp-portatil-mp5-video-juego-inalambrico-joystick-64gb-m17-color-gris/p/MCO29475325#polycard_client=search-nordic&searchVariation=MCO29475325&position=6&search_layout=stack&type=product&tracking_id=374e920e-9396-4015-a196-6e3446bc593e&wid=MCO1510814403&sid=search;descuento no encontrado
Ps4 500gb Spiderman + Control Consola Playstation;$ 1.475.180;https://articulo.mercadolibre.com.co/MCO-504051337-ps4-500gb-spiderman-control-consola-playstation-_JM#polycard_client=search-nordic&position=9&search_layout=stack&type=item&tracking_id=374e920e-9396-4015-a196-6e3446bc593e;18% OFF
Sony PlayStation 4 Slim 1TB Mega Pack: Marvel's Spider-Man/Horizon Zero Dawn Complete Edition/Ratchet & Clank  color negro azabache 1;$ 2.420.000;https://www.mercadolibre.com.co/sony-playstation-4-slim-1tb-mega-pack-marvels-spider-manhorizon-zero-dawn-complete-editionratchet-clank-color-negro-azabache-1/p/MCO16261616#polycard_client=search-nordic&searchVariation=MCO16261616&position=7&search_layout=stack&type=product&tracking_id=374e920e-9396-4015-a196-6e3446bc593e&wid=MCO652202090&sid=search;descuento no encontrado
Sony PlayStation 4 Slim CUH-2215A 1TB Standard  color negro azabache 2016;$ 1.500.000;https://www.mercadolibre.com.co/sony-playstation-4-slim-cuh-2215a-1tb-standard-color-negro-azabache-2016/p/MCO10813733#polycard_client=search-nordic&searchVariation=MCO10813733&position=8&search_layout=stack&type=product&tracking_id=374e920e-9396-4015-a196-6e3446bc593e&wid=MCO1584573606&sid=search;descuento no encontrado
Sony PlayStation 4 Slim CUH-2215A 500GB Standard  color negro azabache 2016;$ 1.539.710;https://www.mercadolibre.com.co/sony-playstation-4-slim-cuh-2215a-500gb-standard-color-negro-azabache-2016/p/MCO10813731#polycard_client=search-nordic&searchVariation=MCO10813731&position=3&search_layout=stack&type=product&tracking_id=374e920e-9396-4015-a196-6e3446bc593e&wid=MCO1329184379&sid=search;21% OFF
Playstation 4 Slim 1tb R De Fabrica Caja Azul;$ 1.315.990;https://articulo.mercadolibre.com.co/MCO-1419325557-playstation-4-slim-1tb-r-de-fabrica-caja-azul-_JM#polycard_client=search-nordic&position=10&search_layout=stack&type=item&tracking_id=374e920e-9396-4015-a196-6e3446bc593e;descuento no encontrado
